session_id,site1,site2,site3,site4,site5,site6,site7,site8,site9,site10,user_id
4032,672,10,1259,1259,6,4268,4106,2112,6,489,50
4033,31,105,405,15,3,776,3,6,776,72,50
4034,15,776,15,23,37,23,23,23,23,6,50
4035,6,10,23,23,23,23,15,3,3,118,50
4036,90,561,108,15,388,623,561,90,776,17,50
4037,108,90,5,733,18,44,3,22,101,5,50
4038,90,90,776,3,107,776,561,776,107,118,50
4039,90,20,3,15,175,31,3,515,221,296,50
4040,283,175,52,52,372,15,3,3,1837,31,50
4041,6,6,10,119,3,15,3,175,3,175,50
4042,296,515,175,3,296,175,52,497,119,37,50
4043,23,23,23,23,23,23,23,23,23,3,50
4044,15,690,136,3,104,104,690,690,3,49,50
4045,69,49,3,15,3,2052,3,2052,1912,2052,50
4046,119,3753,1439,5,3,2052,128,31,10,6,50
4047,15,15,15,3,15,1456,3,1456,106,240,50
4048,246,3,2976,2976,4546,3540,10,6,3185,3111,50
4049,2647,37,23,23,23,23,23,23,23,60,50
4050,60,267,424,424,39,39,67,15,72,15,50
4051,3,104,335,2,3,136,335,104,335,5,50
4052,335,104,3,136,335,104,80,67,23,37,50
4053,23,3,9,6,2,80,9,2,2141,280,50
4054,576,278,401,4676,576,401,22,2141,227,22,50
4055,278,401,227,576,571,2141,278,221,571,107,50
4056,38,13,13,38,15,571,221,278,19,401,50
4057,20,705,576,278,6,10,49,2,49,3,50
4058,9,2,23,37,112,141,15,9,9,39,50
4059,39,52,52,85,23,37,15,72,15,15,50
4060,834,2,834,53,3,123,15,834,834,123,50
4061,834,123,834,834,123,2,9,6,3514,2580,50
4062,3,834,834,834,123,834,123,123,834,834,50
4063,834,2,2071,104,3,136,3,2071,104,104,50
4064,2071,2071,104,2580,123,3,4333,2,9,2,50
4065,2,2,2,2,2,2,2,2,2,2,50
4066,2,2,2,2,2,2,2,2,2,2510,50
4067,2864,2,2510,2864,2510,2738,2,2738,2,830,50
4068,15,830,830,2,10,6,9,72,3,15,50
4069,15,2,1070,22,5,1070,280,227,1070,655,50
4070,1070,15,600,53,26,840,22,655,107,700,50
4071,2,3,408,700,20,2,9,10,6,3,50
4072,15,72,15,4,2,15,15,37,23,23,50
4073,2,30,33,10,52,3,80,52,15,2496,50
4074,6,611,4,9,31,2,25,2,25,3,50
4075,25,25,25,25,25,25,25,25,25,3,50
4076,2,213,9,6,25,25,25,25,25,2,50
4077,2,1518,221,31,2568,2125,175,1330,2201,1518,50
4078,1330,160,1330,5,283,1089,52,296,1518,175,50
4079,1089,2,1545,1545,3,1545,3,15,17,22,50
4080,44,5,18,107,372,20,2,69,49,49,50
4081,119,119,2,1723,1723,1723,1723,1723,6,10,50
4082,175,2,175,296,2,520,2,520,52,497,50
4083,119,3,9,2,49,66,23,37,23,25,50
4084,2,25,10,3,2,9,25,25,25,25,50
4085,25,25,25,25,9,148,67,15,72,15,50
4086,2,25,3,25,25,25,25,25,25,25,50
4087,25,25,25,25,25,25,25,67,25,25,50
4088,25,25,25,25,25,25,25,25,25,25,50
4089,3,3,15,15,3,2,25,25,25,39,50
4090,2,3,6,9,37,23,66,49,21,4,50
4091,10,27,80,66,49,49,66,49,66,69,50
4092,49,2,49,2,31,175,515,221,296,175,50
4093,283,52,2,1976,104,104,3,136,1976,136,50
4094,104,1976,5,1976,52,497,372,39,119,119,50
4095,3,2,25,25,25,25,25,25,25,25,50
4096,25,25,25,25,25,25,25,25,25,25,50
4097,25,25,25,25,25,25,25,25,25,25,50
4098,25,25,25,25,25,25,25,25,25,25,50
4099,25,25,25,25,25,25,25,25,25,25,50
4100,25,25,25,25,25,25,25,25,25,25,50
4101,25,25,25,25,25,25,25,1418,25,25,50
4102,25,25,25,25,25,25,25,25,1418,627,50
4103,2,627,627,627,627,2,627,627,627,2228,50
4104,4627,2,627,627,2,2,854,6,22,1684,50
4105,861,3,861,17,44,5,18,127,3490,289,50
4106,289,127,201,22,3,107,127,127,861,127,50
4107,2,59,59,31,136,59,861,5,201,3759,50
4108,18,17,861,17,861,5,201,18,289,127,50
4109,1684,861,289,127,861,1842,1842,1842,20,1842,50
4110,3,213,119,995,5,17,861,201,18,861,50
4111,17,861,201,18,5,289,127,1684,861,289,50
4112,127,861,127,707,3,37,23,20,707,707,50
4113,707,707,707,707,707,707,2,3338,208,3,50
4114,2836,2544,3,208,2544,2836,2544,208,3,801,50
4115,500,15,4855,673,1439,500,1121,835,685,208,50
4116,3,835,3,208,31,3,835,4702,835,612,50
4117,835,586,749,499,496,612,3,546,3,5,50
4118,835,22,499,580,5,208,22,1121,586,496,50
4119,500,208,3,208,685,1121,835,3,208,685,50
4120,1121,835,3,208,835,3,612,835,835,801,50
4121,5,22,1121,3,4675,208,22,208,749,5,50
4122,208,1121,208,543,5,208,1121,208,835,20,50
4123,10,4756,1742,15,3,835,5,208,1121,208,50
4124,835,208,5,1121,20,734,280,227,1687,104,50
4125,1687,1687,104,136,104,1687,1742,9,6,3,50
4126,2,1687,209,2,627,627,627,627,2,3,50
4127,72,15,815,2,3,2499,3,4755,2499,15,50
4128,2499,2,940,940,940,940,940,37,23,23,50
4129,940,940,627,707,627,940,940,940,940,3,50
4130,6,10,3,15,15,2031,2031,3,2031,3,50
4131,3729,2031,2,1979,1979,2863,1979,80,1979,4536,50
4132,1830,31,10,1830,1830,2228,6,1830,105,2,50
4133,6,801,500,499,4184,208,44,22,749,494,50
4134,1224,15,5,2842,130,1570,546,2232,2842,894,50
4135,208,5,494,2880,204,18,128,53,208,3,50
4136,130,17,894,612,208,673,211,3,22,15,50
4137,2880,5,496,211,204,128,107,107,211,20,50
4138,175,2,221,175,296,52,707,372,119,119,50
4139,494,10,105,2,3,6,2228,67,15,72,50
4140,67,15,25,2,25,574,25,25,25,25,50
4141,25,25,25,25,25,25,25,25,25,25,50
4142,25,25,25,25,25,25,25,25,25,25,50
4143,25,25,25,25,37,23,25,25,25,25,50
4144,25,25,25,25,25,25,25,25,25,25,50
4145,25,25,25,25,535,25,25,3,2,25,50
4146,25,2,3915,1418,2,830,830,15,830,3,50
4147,2,49,66,6,10,54,1346,2,1346,52,50
4148,86,54,2,1887,2693,54,142,1346,80,52,50
4149,15,2,3,31,2,118,90,297,561,108,50
4150,388,90,692,17,22,44,15,101,90,18,50
4151,5,107,118,20,3,2,31,6,10,23,50
4152,37,23,148,72,3,15,15,2,2,4,50
4153,15,15,15,37,23,23,1726,3284,3284,929,50
4154,44,2245,2367,2458,686,686,929,5,686,929,50
4155,2367,2245,929,686,2458,929,686,1849,686,929,50
4156,5,112,261,3277,3,5,80,899,2,686,50
4157,686,686,3163,929,686,929,686,1849,3,5,50
4158,723,112,899,52,929,686,5,1937,582,1849,50
4159,686,3,98,210,582,645,893,723,686,899,50
4160,686,3163,39,21,27,3,30,10,39,33,50
4161,6,85,9,4,6,39,39,255,67,15,50
4162,141,72,112,15,72,15,2,4,15,67,50
4163,15,370,370,2004,3,370,370,370,37,23,50
4164,213,6,9,2,4,30,33,10,3,60,50
4165,60,267,67,112,15,141,72,15,67,80,50
4166,37,23,39,39,3122,1901,345,16,345,1178,50
4167,1471,3233,16,1901,16,671,1178,1178,408,671,50
4168,1642,16,1642,16,671,1178,2357,408,16,2357,50
4169,671,408,66,671,66,408,408,1642,671,408,50
4170,671,408,671,408,671,408,671,671,66,66,50
4171,345,345,66,66,345,1913,69,1913,69,1913,50
4172,69,616,1913,69,80,52,15,611,31,49,50
4173,66,66,49,66,49,66,49,15,15,2,50
4174,492,382,130,22,130,5,52,53,1062,3,50
4175,44,22,53,3,15,22,5,18,3,17,50
4176,15,85,107,957,107,5,20,22,2840,3,50
4177,213,2,9,6,10,23,37,23,357,53,50
4178,2226,4800,3601,2226,4730,107,185,261,41,37,50
4179,23,52,85,2226,141,112,3653,580,2,500,50
4180,496,673,612,580,31,208,3845,673,5,208,50
4181,496,3,208,2,2,2,382,22,1721,1721,50
4182,931,1721,18,5,382,17,1721,31,382,2271,50
4183,2271,957,2,1721,382,382,5,17,2271,18,50
4184,382,957,20,88,9,6,3,2,53,23,50
4185,37,148,67,52,382,5,130,52,53,53,50
4186,15,22,44,18,15,72,85,107,5,22,50
4187,17,107,5,957,53,22,6,20,15,141,50
4188,112,72,15,15,15,2,587,587,2,2,50
4189,587,63,142,54,2,52,63,86,54,23,50
4190,37,63,54,2,587,2,1474,1474,587,39,50
4191,1474,39,2,4797,3,6,9,2,1474,1474,50
4192,2,587,587,587,1474,2,1769,2,1769,1769,50
4193,1769,1769,9,2,587,587,587,587,587,587,50
4194,587,587,587,587,587,587,587,587,587,734,50
4195,15,734,734,2,466,2,4681,2,63,54,50
4196,86,63,86,2,54,86,63,63,2,63,50
4197,86,2,1043,1043,1043,1043,1043,1043,1043,1043,50
4198,1043,1043,10,3,9,2,15,15,72,2,50
4199,112,141,15,15,37,23,23,2,3,6,50
4200,535,466,2,2,63,54,54,54,54,63,50
4201,86,86,52,63,54,54,86,63,54,142,50
4202,63,2,1261,2,141,36,2,3,119,36,50
4203,36,158,3,3,128,454,15,3,805,36,50
4204,2,1828,1828,44,929,929,686,1261,929,686,50
4205,2,112,893,1849,5,686,261,3,893,3,50
4206,2,80,899,3277,2,105,37,23,2,1136,50
4207,31,1710,1136,1136,171,80,1136,85,1136,3,50
4208,2,2,1772,388,108,90,108,90,90,146,50
4209,146,44,22,6,1772,22,18,5,22,17,50
4210,5,22,90,53,107,85,15,107,2,59,50
4211,3,136,59,136,5,171,20,2,609,648,50
4212,648,352,648,919,352,919,559,559,756,609,50
4213,559,682,2,36,173,409,158,409,173,3,50
4214,36,409,3,173,173,36,3,204,22,31,50
4215,6,10,36,3,461,3,36,193,990,347,50
4216,293,36,3,3,36,36,3,3,543,36,50
4217,3,36,468,2256,36,674,334,5,36,67,50
4218,251,261,3,2,36,3,174,175,2,31,50
4219,175,221,515,175,52,283,175,296,52,372,50
4220,497,105,119,119,3,2,424,39,39,67,50
4221,141,112,15,72,15,67,23,37,23,37,50
4222,23,23,15,15,2,6,735,2,735,15,50
4223,3,15,128,3,735,171,171,735,106,1918,50
4224,5,211,2929,735,516,67,735,1558,221,15,50
4225,240,297,5,3,9,2,6,10,2,1164,50
4226,1164,3,1164,1164,3,9,2,10,6,37,50
4227,23,23,80,52,2,108,118,72,15,90,50
4228,388,90,44,17,18,592,101,22,90,5,50
4229,5,107,107,118,251,85,2,20,59,3,50
4230,59,31,136,59,52,261,174,3,9,31,50
4231,2,80,15,52,611,31,148,39,39,60,50
4232,60,267,69,69,162,67,67,15,72,15,50
4233,2,4,15,23,37,23,23,15,80,52,50
4234,15,52,39,39,2,30,3,10,33,6,50
4235,31,148,9,4,80,39,39,39,39,255,50
4236,67,80,52,15,72,67,52,52,611,31,50
4237,23,37,23,85,80,611,148,148,72,15,50
4238,15,15,815,2,59,31,3,3,136,59,50
4239,59,5,5,59,37,23,23,2,23,830,50
4240,2,15,830,830,2,104,2,690,907,104,50
4241,690,3,136,907,104,690,2,2,104,59,50
4242,2,36,839,2,227,280,36,2212,839,839,50
4243,36,3,107,650,36,650,15,107,839,650,50
4244,3,15,650,22,839,158,22,36,839,20,50
4245,839,3,9,6,39,2,39,105,10,36,50
4246,158,3,36,3,36,36,3,36,171,36,50
4247,3,3,461,171,171,171,105,66,345,408,50
4248,408,2357,66,1178,408,3233,1178,408,671,408,50
4249,1178,345,671,1178,16,408,671,16,408,3122,50
4250,671,16,408,1901,16,671,408,1471,408,1471,50
4251,16,671,408,671,1901,16,408,671,1471,1916,50
4252,16,408,1916,408,1471,1471,408,2019,408,66,50
4253,408,66,408,408,408,408,408,408,408,408,50
4254,408,345,66,66,9,36,3,3,300,300,50
4255,2,31,175,296,283,221,175,52,296,372,50
4256,23,37,23,105,119,52,497,3,2,175,50
4257,2,296,175,2,2,1118,3877,1118,1118,1118,50
4258,1118,1118,1118,1118,1118,9,10,6,60,60,50
4259,267,15,72,15,23,37,23,80,85,52,50
4260,15,15,2,36,3,36,158,3,36,3,50
4261,36,461,3,15,5,251,251,9,6,3,50
4262,2,105,2,647,1119,3,993,250,1064,647,50
4263,2,647,106,106,647,1064,2,1119,1665,647,50
4264,80,3253,240,543,993,647,44,17,6,22,50
4265,18,5,993,15,107,22,85,22,107,5,50
4266,20,2,59,3,59,31,59,136,59,136,50
4267,261,261,174,2,1136,1710,1136,171,1136,171,50
4268,171,1136,2,3,22,1710,858,13,1710,858,50
4269,623,1710,1227,104,1227,104,907,3,104,136,50
4270,1227,907,104,1227,104,1227,6,10,3,9,50
4271,2,36,36,3,158,3,2,118,388,108,50
4272,90,90,44,15,17,90,101,87,22,90,50
4273,5,2,609,609,648,352,352,919,559,609,50
4274,682,756,87,20,18,209,5,5,118,2,50
4275,59,59,136,3,59,105,37,23,23,213,50
4276,31,2,59,3,136,844,482,482,201,482,50
4277,1188,482,1188,482,3,2,9,844,482,482,50
4278,201,482,1188,2,2473,1299,3305,4863,1299,4637,50
4279,2473,2473,2852,44,18,17,5,1720,1299,3,50
4280,1720,2306,1485,1299,1720,1720,1299,1720,3,3,50
4281,1299,2306,1485,1299,2852,3,2306,1485,4767,22,50
4282,17,18,5,67,20,2,6,10,23,37,50
4283,23,23,2,2506,104,136,104,3,2506,2506,50
4284,2,59,59,3,136,2,59,3,59,136,50
4285,2,3,2,141,112,1828,1261,9,2,1828,50
4286,1261,15,72,3,2,9,2,784,784,31,50
4287,261,784,119,706,784,4128,784,784,5,784,50
4288,44,17,18,784,784,106,784,106,784,5,50
4289,3089,516,5,106,22,784,5,1485,22,784,50
4290,784,784,20,31,10,6,23,37,23,23,50
4291,2,59,59,59,59,3,136,3,2,69,50
4292,69,162,39,39,15,72,15,2,4,15,50
4293,15,80,15,52,52,37,23,23,2,213,50
4294,30,10,33,3,6,31,148,9,357,357,50
4295,510,9,6,9,141,112,69,162,148,23,50
4296,37,51,6,24,9,9,648,609,2,648,50
4297,352,919,682,919,559,609,352,15,756,37,50
4298,23,23,3,2,9,6,10,9,72,15,50
4299,2,49,49,3,1740,2,2,3,2936,3155,50
4300,1740,31,1740,2,175,221,296,175,283,515,50
4301,52,372,119,119,3,2,9,4,424,424,50
4302,39,39,67,72,15,15,2,3,1164,1164,50
4303,15,3,1164,3,1164,15,67,2,879,963,50
4304,250,477,1560,3,1024,1324,704,279,279,879,50
4305,225,225,1000,704,1066,1255,3,279,757,1077,50
4306,225,5,225,1077,37,23,23,3,9,2,50
4307,10,6,59,2,31,1250,1020,246,723,246,50
4308,112,246,246,2147,3549,80,2960,734,2960,3243,50
4309,31,3115,2068,2123,1967,2068,2123,3115,1967,2123,50
4310,1967,13,13,38,3127,3,38,3127,3,3,50
4311,13,38,1020,209,2,3723,2,3,213,9,50
4312,2,37,23,9,2,49,49,597,2,597,50
4313,2,2,813,813,227,278,813,3088,227,813,50
4314,308,2,813,49,22,85,49,813,53,49,50
4315,813,213,3,9,151,2,49,49,49,2,50
4316,49,49,69,3,104,335,2,136,3,335,50
4317,335,3,9,2,3,23,37,52,85,9,50
4318,52,80,52,15,72,31,15,72,52,9,50
4319,611,31,151,148,72,15,15,2,1461,2243,50
4320,1461,2,3749,2,1461,1461,2243,4822,1461,1461,50
4321,2243,6,9,2,3,141,72,112,15,15,50
4322,37,23,23,39,39,845,85,85,845,3134,50
4323,3134,845,790,15,80,845,845,845,845,3068,50
4324,2841,31,845,1683,52,1439,1683,2232,653,3128,50
4325,39,39,69,69,162,357,510,357,37,23,50
4326,23,112,72,15,141,15,39,39,39,39,50
4327,67,72,15,15,2,4,15,15,67,39,50
4328,15,37,23,23,2,30,3,33,51,10,50
4329,28,24,39,6,9,3,9,37,23,9,50
4330,9,23,37,80,52,85,9,37,23,23,50
4331,9,9,37,23,23,4,39,39,15,72,50
4332,15,2,4,15,15,37,23,2,30,3,50
4333,9,33,10,6,9,9,4,60,60,267,50
4334,1530,1530,510,510,1530,510,31,1530,39,510,50
4335,1530,1530,510,1191,1191,560,52,52,1191,67,50
4336,560,560,560,560,560,560,560,560,560,560,50
4337,560,560,560,560,560,560,560,560,560,560,50
4338,560,560,560,560,1191,39,255,67,37,23,50
4339,23,15,72,2,4,15,15,112,141,80,50
4340,6,9,2,3,10,21,4,80,52,15,50
4341,85,611,611,31,151,23,37,23,69,162,50
4342,69,49,2,69,49,2,597,597,52,3,50
4343,2,9,85,37,23,141,112,148,39,39,50
4344,69,162,3,15,72,15,15,37,23,23,50
4345,2,1355,2831,4794,106,1355,1779,106,80,3048,50
4346,2831,240,1190,516,626,1355,22,1355,52,173,50
4347,173,67,85,52,3,6,9,637,2,637,50
4348,637,637,637,23,37,23,637,23,37,23,50
4349,37,23,37,67,15,15,72,15,2,4,50
4350,15,15,15,67,15,37,23,23,2,80,50
4351,52,15,21,27,39,30,3,9,10,33,50
4352,85,80,6,31,151,39,9,148,4,39,50
4353,39,700,345,345,345,345,345,67,815,67,50
4354,52,23,37,23,15,72,15,2,1193,15,50
4355,106,3,15,3,2555,2,1641,2,845,85,50
4356,15,85,845,790,15,80,845,845,39,845,50
4357,39,3068,2,118,90,692,108,118,388,90,50
4358,297,5,22,90,17,84,108,18,107,5,50
4359,15,44,5,101,90,108,22,84,118,20,50
4360,2841,1096,9,3,2,31,1096,10,6,80,50
4361,31,1193,10,6,845,1683,1439,1683,52,653,50
4362,2232,1683,52,1117,3128,2,2,2,49,37,50
4363,23,80,3,213,2,9,6,611,31,1641,50
4364,700,1096,1096,1641,1641,1641,2840,37,23,23,50
4365,72,15,2,2,104,1905,3,136,5,104,50
4366,1905,148,3,2,213,9,52,148,611,67,50
4367,209,815,15,2,466,72,15,15,15,15,50
4368,67,15,15,2,1932,21,9,4,10,27,50
4369,934,30,6,3,2,33,15,72,15,2,50
4370,4,15,15,15,2,21,10,27,30,33,50
4371,6,24,3,9,2,80,85,2,1465,1465,50
4372,1465,52,1465,1465,9,3,2,3189,2,3189,50
4373,54,791,2,142,54,86,52,791,54,791,50
4374,3,9,2,2,1887,2724,2693,1525,2,1192,50
4375,1887,1192,1192,1192,2,4319,3,2,9,2,50
4376,141,112,141,3,2,9,9,4,837,2832,50
4377,31,15,72,837,837,13,2525,38,1931,38,50
4378,2525,3,13,2498,38,19,67,2498,13,9,50
4379,1185,591,1185,1185,3,2038,1185,1185,1185,4432,50
4380,1185,1185,448,22,3008,6,591,44,3054,448,50
4381,3054,2860,76,448,18,17,15,2032,2038,304,50
4382,52,221,3,723,80,112,297,85,107,15,50
4383,522,5,76,448,3425,448,448,448,448,20,50
4384,76,76,76,76,31,76,6,10,76,76,50
4385,76,15,76,76,2,2474,2474,2474,76,6,50
4386,76,15,76,76,76,76,76,2,366,303,50
4387,355,1067,730,916,329,389,31,326,319,327,50
4388,319,303,327,389,366,355,329,22,326,5,50
4389,319,730,336,5,336,665,326,1067,22,665,50
4390,665,3,723,5,743,76,326,730,916,31,50
4391,1067,329,916,336,319,730,366,916,730,336,50
4392,389,326,5,329,327,665,916,303,327,1067,50
4393,319,389,327,665,3,326,1498,743,80,5,50
4394,3,20,76,916,303,326,916,355,389,336,50
4395,366,327,319,2290,319,329,916,389,327,5,50
4396,329,355,389,303,326,730,319,665,730,665,50
4397,327,3,2290,3,743,5,76,336,326,303,50
4398,319,355,327,366,355,355,336,366,303,5,50
4399,389,327,3,336,326,743,326,326,326,20,50
4400,326,366,389,303,329,355,319,5,326,3,50
4401,327,355,319,329,326,366,319,336,355,743,50
4402,303,329,5,329,303,327,355,355,366,303,50
4403,327,327,329,389,327,355,319,366,316,5,50
4404,126,336,303,389,994,76,126,5,126,5,50
4405,326,327,329,389,329,319,303,366,316,319,50
4406,389,326,329,20,366,5,355,303,336,326,50
4407,3,5,316,126,327,366,126,355,9,389,50
4408,329,336,5,126,2,743,5,126,5,389,50
4409,366,327,319,303,327,389,319,319,355,366,50
4410,366,366,355,336,336,303,319,5,126,389,50
4411,329,319,329,319,336,355,326,319,329,5,50
4412,303,329,319,316,327,389,326,126,3,327,50
4413,329,336,319,326,743,5,5,126,5,126,50
4414,326,20,355,730,5,76,326,5,316,336,50
4415,329,126,366,327,5,3,326,355,329,329,50
4416,743,366,319,336,327,303,336,355,319,336,50
4417,355,319,329,327,329,366,303,336,893,319,50
4418,303,366,355,366,329,355,389,5,20,5,50
4419,126,5,126,326,303,336,366,389,319,329,50
4420,5,327,316,326,730,303,3,126,893,743,50
4421,5,326,303,336,389,327,336,355,336,389,50
4422,303,303,319,329,327,303,327,319,366,76,50
4423,329,355,329,389,303,303,366,329,336,389,50
4424,303,326,327,366,303,336,5,355,366,319,50
4425,329,3,326,126,730,5,316,326,389,366,50
4426,329,327,743,5,303,303,389,319,366,327,50
4427,329,336,319,329,355,366,336,303,327,389,50
4428,319,319,389,303,329,327,355,336,20,326,50
4429,326,730,355,327,366,389,5,329,316,303,50
4430,3,126,743,893,5,326,355,303,336,366,50
4431,336,303,327,303,336,319,355,389,327,389,50
4432,319,366,336,327,389,329,366,76,319,303,50
4433,327,319,303,336,327,20,5,126,326,336,50
4434,665,319,355,329,336,5,303,730,5,326,50
4435,316,126,3,743,326,366,329,327,389,355,50
4436,327,336,389,366,336,303,893,336,355,319,50
4437,5,329,355,303,319,366,319,355,336,329,50
4438,389,366,366,355,319,326,336,355,303,303,50
4439,5,303,336,665,327,5,389,730,326,316,50
4440,329,3,126,665,743,5,76,326,336,319,50
4441,327,327,319,303,355,355,303,366,327,20,50
4442,336,389,303,303,355,329,327,366,319,329,50
4443,303,389,355,329,389,326,76,448,448,448,50
4444,591,44,76,448,9,2,460,460,460,460,50
4445,1125,1450,460,5,460,460,128,5,460,128,50
4446,3,128,460,211,943,460,128,460,5,565,50
4447,460,5,5,52,460,460,261,460,460,460,50
4448,711,460,460,943,711,460,80,711,174,460,50
4449,460,711,5,211,251,711,711,460,711,711,50
4450,711,943,460,460,711,943,711,460,1984,460,50
4451,943,460,711,1984,171,460,943,1984,171,171,50
4452,460,943,711,460,943,460,1904,204,1984,790,50
4453,2826,193,2163,565,711,943,711,711,943,460,50
4454,711,3786,943,3,3,2,10,6,9,3,50
4455,2,15,27,21,10,3,9,6,4,67,50
4456,67,574,15,72,2,4,15,15,15,15,50
4457,2,6,33,3,2,21,4,10,27,9,50
4458,30,60,60,267,39,39,15,15,72,15,50
4459,2,295,1733,67,668,476,541,295,2,1394,50
4460,2076,130,1851,1394,22,130,5,1851,1394,15,50
4461,53,1394,295,2076,107,2076,37,23,23,20,50
4462,2,816,816,3988,39,1089,816,816,1089,816,50
4463,39,10,6,3,9,2,816,816,1089,816,50
4464,9,2,49,69,49,49,2,597,2,2905,50
4465,2905,49,2,1910,2,49,107,1910,3,9,50
4466,49,1007,2,1910,1910,23,37,23,9,69,50
4467,69,162,3,9,2,69,162,9,37,23,50
4468,23,2,15,72,955,331,677,2083,955,677,50
4469,331,742,44,695,18,221,5,331,85,3,50
4470,5,304,818,710,629,128,52,1879,990,193,50
4471,5,211,3,128,80,461,128,331,5,887,50
4472,990,990,742,717,331,991,331,331,689,818,50
4473,331,2083,689,331,695,717,629,818,742,2083,50
4474,710,1288,2,900,900,17,2,2,52,15,50
4475,52,304,2403,304,15,1229,52,52,15,790,50
4476,790,2,80,15,221,297,80,297,1853,203,50
4477,5,1853,1853,531,203,203,621,570,5,1853,50
4478,3805,854,854,201,31,3,621,854,201,621,50
4479,3,621,201,621,621,9,2,31,31,2353,50
4480,4052,2353,2353,621,201,1148,67,10,6,3,50
4481,621,201,621,621,201,3,621,3,201,621,50
4482,201,621,3,621,201,3,621,201,621,201,50
4483,3,621,38,13,13,38,19,14,13,1,50
4484,3938,1,13,19,1,1,1,1,3,1,50
4485,1,1110,201,3,621,621,621,67,621,15,50
4486,15,15,15,2,15,3,734,27,21,33,50
4487,30,4,9,6,10,3,201,52,72,15,50
4488,141,112,15,15,72,15,80,52,15,80,50
4489,37,23,23,6,3,611,2,31,535,80,50
4490,611,3,2,213,148,209,15,2,2504,2504,50
4491,2,1004,1004,1004,1004,1619,1004,1619,1004,4479,50
4492,1619,1006,901,1004,1528,1006,1004,1004,1054,1903,50
4493,901,1903,1006,901,1004,1464,1619,1619,901,1006,50
4494,1004,1464,4153,901,1464,1528,1528,1528,1528,1006,50
4495,901,1006,901,901,1006,901,1903,1006,901,1006,50
4496,1903,1006,901,901,1006,1054,1528,6,3,213,50
4497,2,2,466,15,15,15,2,2,791,54,50
4498,142,86,21,54,791,52,934,27,30,3,50
4499,10,33,51,24,54,6,9,9,6,9,50
4500,4,37,23,30,33,3,6,9,4,2,50
4501,2,2,1358,1358,1358,2,175,221,31,283,50
4502,175,296,2,80,52,515,283,175,283,296,50
4503,304,85,497,372,119,119,213,3,9,2,50
4504,1358,1358,80,80,1358,1358,2504,2,2,2,50
4505,2373,2,2373,4279,118,2,90,388,108,15,50
4506,72,90,90,101,22,108,5,44,107,108,50
4507,18,85,107,5,118,20,90,17,9,2,50
4508,31,5,37,23,23,9,9,141,112,424,50
4509,39,67,67,141,112,15,72,15,37,23,50
4510,23,23,23,23,23,23,23,15,2,466,50
4511,15,72,15,2,175,31,221,175,283,2,50
4512,283,296,52,283,1965,2636,2636,1965,1965,3,50
4513,3,85,15,106,52,1965,23,37,497,1190,50
4514,80,626,240,23,23,372,173,173,2,1437,50
4515,3,1437,2,627,627,627,627,119,3,9,50
4516,2087,2,2087,2087,2,2,1020,31,1020,1250,50
4517,1125,85,1450,516,738,31,2147,80,687,687,50
4518,734,80,687,2269,734,687,15,687,687,734,50
4519,15,2269,52,687,1085,687,80,15,687,1085,50
4520,52,687,1085,1085,80,1085,3,80,1085,1085,50
4521,1020,10,6,2644,2644,1250,1125,1450,2145,895,50
4522,31,87,4157,87,565,5,565,87,874,874,50
4523,714,874,714,44,714,874,714,714,874,2,50
4524,63,54,54,874,714,2,874,714,52,874,50
4525,714,59,874,31,3,59,874,714,714,54,50
4526,874,874,714,874,714,4495,36,36,3,3,50
4527,36,454,409,158,454,3,1173,1173,85,714,50
4528,2150,714,221,54,714,142,86,54,63,86,50
4529,63,52,5,54,4510,2766,5,5,18,714,50
4530,714,297,76,44,2138,76,1173,522,2766,221,50
4531,112,261,36,36,36,3,158,36,3,15,50
4532,3,3,1405,721,721,721,36,36,3,36,50
4533,36,36,3,3,36,36,204,5,2027,67,50
4534,36,36,565,36,3,36,3,54,721,565,50
4535,4558,76,36,3,409,3,409,36,36,36,50
4536,3,36,15,3,3,36,3,3,15,3,50
4537,293,3,17,36,3,36,3,3,15,347,50
4538,709,36,334,36,36,3,36,3,36,2,50
4539,36,3,3,36,19,39,31,39,5,3,50
4540,6,105,9,36,36,3,3,36,3,3,50
4541,36,105,9,37,23,9,9,209,2,15,50
4542,15,2,30,3,10,33,6,24,9,9,50
4543,23,37,23,9,9,9,9,15,2,3,50
4544,72,15,1932,934,27,21,10,3,9,4,50
4545,345,345,345,345,345,345,345,345,345,345,50
4546,345,345,345,345,345,345,345,345,345,345,50
4547,345,345,345,345,345,345,345,39,39,67,50
4548,456,456,456,555,456,456,456,555,456,456,50
4549,555,456,67,37,23,23,456,456,456,555,50
4550,456,555,456,555,456,456,555,80,52,15,50
4551,72,31,611,3148,148,67,67,37,23,72,50
4552,15,2,456,555,456,555,456,555,555,456,50
4553,456,456,555,456,555,456,456,555,456,555,50
4554,555,555,456,456,555,555,456,555,555,456,50
4555,39,456,555,555,39,3148,213,6,3,2,50
4556,456,38,13,456,38,19,38,1884,1884,1884,50
4557,1884,23,37,80,52,15,31,611,148,60,50
4558,60,267,39,39,67,67,37,23,15,72,50
4559,15,2,1360,244,1360,1360,6,2,3,810,50
4560,2229,810,810,810,810,1015,1015,810,810,810,50
4561,1015,1015,1015,1015,357,357,510,37,23,80,50
4562,52,15,31,611,85,151,81,43,164,312,50
4563,160,183,167,61,81,43,80,23,37,52,50
